Query,Quote
Building a model aeroplane with concepts,"A conceptual model is one which reflects reality by placing words which are concepts into the model in the same way that the model aeroplane builder puts wings, a fuselage, and a cockpit together."
Placing words into a conceptual model,"A conceptual model is one which reflects reality by placing words which are concepts into the model in the same way that the model aeroplane builder puts wings, a fuselage, and a cockpit together."
Model aeroplane builder process,"A conceptual model is one which reflects reality by placing words which are concepts into the model in the same way that the model aeroplane builder puts wings, a fuselage, and a cockpit together."
God's intention and masturbation,"If God had intended us not to masturbate, he would've made our arms shorter."
Why did God make our arms long?,"If God had intended us not to masturbate, he would've made our arms shorter."
Divine intention and self-pleasure,"If God had intended us not to masturbate, he would've made our arms shorter."
Religious perspective on masturbation,"If God had intended us not to masturbate, he would've made our arms shorter."
Short arms and divine plan,"If God had intended us not to masturbate, he would've made our arms shorter."
Speaking to people globally,"If people will listen, I will go anywhere in the world!"
Willingness to travel for an audience,"If people will listen, I will go anywhere in the world!"
Global audience and speaking engagements,"If people will listen, I will go anywhere in the world!"
Going anywhere if people listen,"If people will listen, I will go anywhere in the world!"
Worldwide speaking opportunities,"If people will listen, I will go anywhere in the world!"
Lack of originality in life,It was not a very original period of my life. I won't say I fell in with bad company—I more hunted them down.
Period of hunting down bad company,It was not a very original period of my life. I won't say I fell in with bad company—I more hunted them down.
Not falling in with bad company,It was not a very original period of my life. I won't say I fell in with bad company—I more hunted them down.
Originality and life experiences,It was not a very original period of my life. I won't say I fell in with bad company—I more hunted them down.
Hunting down companions in life,It was not a very original period of my life. I won't say I fell in with bad company—I more hunted them down.
Western literature and talk,"Almost all of western literature is about talk…There's this great line in Beckett: keep talking, you're winning. And somehow I wanted to subvert that; the need to constantly express and put your verbal and psychological stamp on everything…You don't always have to talk."
"Beckett's line: keep talking, you're winning","Almost all of western literature is about talk…There's this great line in Beckett: keep talking, you're winning. And somehow I wanted to subvert that; the need to constantly express and put your verbal and psychological stamp on everything…You don't always have to talk."
Subverting the need for constant expression,"Almost all of western literature is about talk…There's this great line in Beckett: keep talking, you're winning. And somehow I wanted to subvert that; the need to constantly express and put your verbal and psychological stamp on everything…You don't always have to talk."
Verbal and psychological stamp in literature,"Almost all of western literature is about talk…There's this great line in Beckett: keep talking, you're winning. And somehow I wanted to subvert that; the need to constantly express and put your verbal and psychological stamp on everything…You don't always have to talk."
When you don't always have to talk,"Almost all of western literature is about talk…There's this great line in Beckett: keep talking, you're winning. And somehow I wanted to subvert that; the need to constantly express and put your verbal and psychological stamp on everything…You don't always have to talk."
Data about White House superspreader event,"The data speak for themselves - we had a superspreader event in the White House, and it was in a situation where people were crowded together and were not wearing masks"
Crowded situation without mask-wearing,"The data speak for themselves - we had a superspreader event in the White House, and it was in a situation where people were crowded together and were not wearing masks"
Superspreader event in the White House,"The data speak for themselves - we had a superspreader event in the White House, and it was in a situation where people were crowded together and were not wearing masks"
Analysis of data from crowded events,"The data speak for themselves - we had a superspreader event in the White House, and it was in a situation where people were crowded together and were not wearing masks"
Effects of not wearing masks in gatherings,"The data speak for themselves - we had a superspreader event in the White House, and it was in a situation where people were crowded together and were not wearing masks"
Youthful sculpting and weariness,"We're sculpted from youth, the chipping away makes me weary"
Chipping away at oneself over time,"We're sculpted from youth, the chipping away makes me weary"
Effects of sculpting from youth,"We're sculpted from youth, the chipping away makes me weary"
Becoming weary from life experiences,"We're sculpted from youth, the chipping away makes me weary"
Sculpted from youth and feeling tired,"We're sculpted from youth, the chipping away makes me weary"
Fruitful tidings in mine ears,"Ram thou thy fruitful tidings in mine ears,That long time have been barren."
Ram thy tidings into my ears,"Ram thou thy fruitful tidings in mine ears,That long time have been barren."
Long time barren and fruitful tidings,"Ram thou thy fruitful tidings in mine ears,That long time have been barren."
Barren ears and awaited tidings,"Ram thou thy fruitful tidings in mine ears,That long time have been barren."
Receiving fruitful tidings after a long time,"Ram thou thy fruitful tidings in mine ears,That long time have been barren."
Club definition as an assembly,"CLUB — An assembly of good fellows, meeting under certain conditions."
Good fellows and club meetings,"CLUB — An assembly of good fellows, meeting under certain conditions."
Meeting conditions for club gatherings,"CLUB — An assembly of good fellows, meeting under certain conditions."
Conditions for an assembly of good fellows,"CLUB — An assembly of good fellows, meeting under certain conditions."
Defining a club as an assembly under conditions,"CLUB — An assembly of good fellows, meeting under certain conditions."
Religions and legends of old men,"Old men's religions and old men's legends, always elsewhere, in the dark, so they could not be seen too clearly. So they could not be examined too closely. So they could go on, breeding, fulminating, burning, and rotting in the dark."
Old men's traditions in the dark,"Old men's religions and old men's legends, always elsewhere, in the dark, so they could not be seen too clearly. So they could not be examined too closely. So they could go on, breeding, fulminating, burning, and rotting in the dark."
Examining old men's religions and legends,"Old men's religions and old men's legends, always elsewhere, in the dark, so they could not be seen too clearly. So they could not be examined too closely. So they could go on, breeding, fulminating, burning, and rotting in the dark."
"Breeding, fulminating, burning, and rotting in the dark","Old men's religions and old men's legends, always elsewhere, in the dark, so they could not be seen too clearly. So they could not be examined too closely. So they could go on, breeding, fulminating, burning, and rotting in the dark."
The dark and ancient practices of old men,"Old men's religions and old men's legends, always elsewhere, in the dark, so they could not be seen too clearly. So they could not be examined too closely. So they could go on, breeding, fulminating, burning, and rotting in the dark."
Secondary alkyl systems reactions,"Secondary alkyl systems undergo, depending on conditions, both eliminations and substitutions by either possible pathway: uni- or bimolecular. Good nucleophiles favor S1 and E1."
Eliminations and substitutions in alkyl systems,"Secondary alkyl systems undergo, depending on conditions, both eliminations and substitutions by either possible pathway: uni- or bimolecular. Good nucleophiles favor S1 and E1."
Nucleophiles in S1 and E1 reactions,"Secondary alkyl systems undergo, depending on conditions, both eliminations and substitutions by either possible pathway: uni- or bimolecular. Good nucleophiles favor S1 and E1."
Uni- or bimolecular pathways in chemical reactions,"Secondary alkyl systems undergo, depending on conditions, both eliminations and substitutions by either possible pathway: uni- or bimolecular. Good nucleophiles favor S1 and E1."
Conditions for alkyl systems reactions,"Secondary alkyl systems undergo, depending on conditions, both eliminations and substitutions by either possible pathway: uni- or bimolecular. Good nucleophiles favor S1 and E1."
Person leaving hotel at 3:00 AM,"He left me at my hotel at 3:00 AM murmuring: \""You're marvelous.\"
Hotel departure at early morning,"He left me at my hotel at 3:00 AM murmuring: \""You're marvelous.\"
Murmuring at hotel departure,"He left me at my hotel at 3:00 AM murmuring: \""You're marvelous.\"
Compliments at hotel farewell,"He left me at my hotel at 3:00 AM murmuring: \""You're marvelous.\"
3:00 AM hotel goodbye,"He left me at my hotel at 3:00 AM murmuring: \""You're marvelous.\"
America world's policeman,"America cannot be the world's policeman. But we must reject the new isolationism that says: don't help anywhere, because we can not help everywhere."
Rejecting new isolationism,"America cannot be the world's policeman. But we must reject the new isolationism that says: don't help anywhere, because we can not help everywhere."
International assistance and isolationism,"America cannot be the world's policeman. But we must reject the new isolationism that says: don't help anywhere, because we can not help everywhere."
Global responsibility of America,"America cannot be the world's policeman. But we must reject the new isolationism that says: don't help anywhere, because we can not help everywhere."
Helping everywhere vs. isolationism,"America cannot be the world's policeman. But we must reject the new isolationism that says: don't help anywhere, because we can not help everywhere."
Familiarity in enterprise,"All things are the same,—familiar in enterprise, momentary in endurance, coarse in substance. All things now are as they were in the day of those whom we have buried."
Momentary endurance of things,"All things are the same,—familiar in enterprise, momentary in endurance, coarse in substance. All things now are as they were in the day of those whom we have buried."
Coarseness in substance,"All things are the same,—familiar in enterprise, momentary in endurance, coarse in substance. All things now are as they were in the day of those whom we have buried."
Comparison of past and present,"All things are the same,—familiar in enterprise, momentary in endurance, coarse in substance. All things now are as they were in the day of those whom we have buried."
Things as they were in the past,"All things are the same,—familiar in enterprise, momentary in endurance, coarse in substance. All things now are as they were in the day of those whom we have buried."
Virtuous living as a weapon,Your virtuous living is your enemy's best and cheapest weapon
Living virtuously and enemies,Your virtuous living is your enemy's best and cheapest weapon
Effectiveness of virtuous living,Your virtuous living is your enemy's best and cheapest weapon
Enemy's perspective on virtuous living,Your virtuous living is your enemy's best and cheapest weapon
Cost of virtue as a weapon,Your virtuous living is your enemy's best and cheapest weapon
Tide rising and falling,"The tide rises, the tide falls, And the tide rises, the tide falls."
Nature's cycle: tide rises and falls,"The tide rises, the tide falls, And the tide rises, the tide falls."
Repetition of tide rising and falling,"The tide rises, the tide falls, And the tide rises, the tide falls."
Poetic depiction of tidal movement,"The tide rises, the tide falls, And the tide rises, the tide falls."
Symbolism of tide in poetry,"The tide rises, the tide falls, And the tide rises, the tide falls."
Mutual dependence in societies,"The mutual dependence of men is so great in all societies that scarce any human action is entirely complete in itself, or is performed without some reference to the actions of others, which are requisite to make it answer fully the intention of the agent."
Human actions and mutual dependence,"The mutual dependence of men is so great in all societies that scarce any human action is entirely complete in itself, or is performed without some reference to the actions of others, which are requisite to make it answer fully the intention of the agent."
Completeness of human actions,"The mutual dependence of men is so great in all societies that scarce any human action is entirely complete in itself, or is performed without some reference to the actions of others, which are requisite to make it answer fully the intention of the agent."
Reference to others in human actions,"The mutual dependence of men is so great in all societies that scarce any human action is entirely complete in itself, or is performed without some reference to the actions of others, which are requisite to make it answer fully the intention of the agent."
Agent's intention and societal actions,"The mutual dependence of men is so great in all societies that scarce any human action is entirely complete in itself, or is performed without some reference to the actions of others, which are requisite to make it answer fully the intention of the agent."
Authorization of oppressed people to rise,"An oppressed people are authorized, whenever they can, to rise and break their fetters."
Breaking fetters of the oppressed,"An oppressed people are authorized, whenever they can, to rise and break their fetters."
Rights of oppressed people to rebellion,"An oppressed people are authorized, whenever they can, to rise and break their fetters."
Overcoming oppression and rising,"An oppressed people are authorized, whenever they can, to rise and break their fetters."
When can oppressed people rebel,"An oppressed people are authorized, whenever they can, to rise and break their fetters."
Convincing arguments and rationality,“Would you find that convincing?”“No.” Justin Foote nodded. “Reasonable. When a rational man hears something asserted that conflicts with all common sense he will not—and should not—believe it without compelling evidence.
Conflicts with common sense,“Would you find that convincing?”“No.” Justin Foote nodded. “Reasonable. When a rational man hears something asserted that conflicts with all common sense he will not—and should not—believe it without compelling evidence.
Rational response to conflicting assertions,“Would you find that convincing?”“No.” Justin Foote nodded. “Reasonable. When a rational man hears something asserted that conflicts with all common sense he will not—and should not—believe it without compelling evidence.
Belief without compelling evidence,“Would you find that convincing?”“No.” Justin Foote nodded. “Reasonable. When a rational man hears something asserted that conflicts with all common sense he will not—and should not—believe it without compelling evidence.
Justin Foote's perspective on convincing statements,“Would you find that convincing?”“No.” Justin Foote nodded. “Reasonable. When a rational man hears something asserted that conflicts with all common sense he will not—and should not—believe it without compelling evidence.
Relationship between mocking and being mocked,"I never knew a mocker who was not mocked, ... a deceiver who was not deceived, or a proud man who was not humbled."
Deception and being deceived,"I never knew a mocker who was not mocked, ... a deceiver who was not deceived, or a proud man who was not humbled."
Pride and humility in individuals,"I never knew a mocker who was not mocked, ... a deceiver who was not deceived, or a proud man who was not humbled."
Reciprocal nature of mocking and being mocked,"I never knew a mocker who was not mocked, ... a deceiver who was not deceived, or a proud man who was not humbled."
Humbling of proud individuals,"I never knew a mocker who was not mocked, ... a deceiver who was not deceived, or a proud man who was not humbled."
Information age work shift specialists,The information age has off-loaded a great deal of work previously done by people we could call information specialists onto all of the rest of us.
Impact of information age on workload,The information age has off-loaded a great deal of work previously done by people we could call information specialists onto all of the rest of us.
Evolution of work in the information age,The information age has off-loaded a great deal of work previously done by people we could call information specialists onto all of the rest of us.
Progress of peace conference,"How goes your peace conference? Slowly. Having exhausted the possibilities of every other form of mass-murder they could possibly employ against each other, the natives now appear intent on boring each other to death. They may finally have discovered their true calling."
Mass-murder alternatives in conflicts,"How goes your peace conference? Slowly. Having exhausted the possibilities of every other form of mass-murder they could possibly employ against each other, the natives now appear intent on boring each other to death. They may finally have discovered their true calling."
Impact of peace conferences on conflicts,"How goes your peace conference? Slowly. Having exhausted the possibilities of every other form of mass-murder they could possibly employ against each other, the natives now appear intent on boring each other to death. They may finally have discovered their true calling."
Fearful moments in life,"There are moments in our lives we fear to relive and others we long to repeat. While time cannot give us second chances, maybe people can."
Longing to repeat past experiences,"There are moments in our lives we fear to relive and others we long to repeat. While time cannot give us second chances, maybe people can."
Impact of people on reliving moments,"There are moments in our lives we fear to relive and others we long to repeat. While time cannot give us second chances, maybe people can."
Condition of wolves in a flock,"Our condition is like that of the poor wolves: if one of the flock wound himself, or so much as limp, the rest eat him up incontinently. That serene Power interposes the check upon the caprices and officiousness of our wills."
Impact of wounds on flock dynamics,"Our condition is like that of the poor wolves: if one of the flock wound himself, or so much as limp, the rest eat him up incontinently. That serene Power interposes the check upon the caprices and officiousness of our wills."
Serene power checking flock caprices,"Our condition is like that of the poor wolves: if one of the flock wound himself, or so much as limp, the rest eat him up incontinently. That serene Power interposes the check upon the caprices and officiousness of our wills."
Study of history impact on thinking,"Writing home in 1946, he told his parents that he wanted to study history because he hoped that a knowledge of the past might “make people stop and think before blindly following some bigoted group to make the world safe for Aryans, Democrats or Mississippians.”"
Preventing blind following of bigoted groups,"Writing home in 1946, he told his parents that he wanted to study history because he hoped that a knowledge of the past might “make people stop and think before blindly following some bigoted group to make the world safe for Aryans, Democrats or Mississippians.”"
Making the world safe for diverse communities,"Writing home in 1946, he told his parents that he wanted to study history because he hoped that a knowledge of the past might “make people stop and think before blindly following some bigoted group to make the world safe for Aryans, Democrats or Mississippians.”"
Religion as motivation for conflicts,My point is not that religion itself is the motivation for wars...
Wars and religious motivations,My point is not that religion itself is the motivation for wars...
Principal labels for 'they' vs 'we',My point is not that religion itself is the motivation for wars...
Religious conflicts in history,My point is not that religion itself is the motivation for wars...
Dangers of labeling by religion,My point is not that religion itself is the motivation for wars...
Strange dreams and sleep disturbances,What strange Dreams disturb my rest?
Disturbing dreams at night,What strange Dreams disturb my rest?
Dreams and their impact on rest,What strange Dreams disturb my rest?
Sleep disturbances and unusual dreams,What strange Dreams disturb my rest?
Dreams affecting sleep quality,What strange Dreams disturb my rest?
Citizen's right to self-defense in fascist states,"Every fascist state like Germany, France, or modern Poland..."
Fascism and gun control,"Every fascist state like Germany, France, or modern Poland..."
Political figures supporting gun control,"Every fascist state like Germany, France, or modern Poland..."
Fascist Americans and firearms regulation,"Every fascist state like Germany, France, or modern Poland..."
Impact of gun control in fascist regimes,"Every fascist state like Germany, France, or modern Poland..."
Speculations on inanimate objects' thoughts,"I wonder what chairs think about all day: 'Oh, here comes another asshole.'"
Do chairs have opinions?,"I wonder what chairs think about all day: 'Oh, here comes another asshole.'"
Objects anthropomorphism,"I wonder what chairs think about all day: 'Oh, here comes another asshole.'"
Inanimate objects and human behaviors,"I wonder what chairs think about all day: 'Oh, here comes another asshole.'"
Funny thoughts about daily objects,"I wonder what chairs think about all day: 'Oh, here comes another asshole.'"
Racism and assumptions about intelligence,Not everybody is absolutely stupid. Why on earth would I be racist...
Challenging stereotypes and prejudices,Not everybody is absolutely stupid. Why on earth would I be racist...
Understanding the consequences of stereotypes,Not everybody is absolutely stupid. Why on earth would I be racist...
Overcoming racial biases,Not everybody is absolutely stupid. Why on earth would I be racist...
Debunking racist beliefs,Not everybody is absolutely stupid. Why on earth would I be racist...
DNA and genetic information,It is easy to think of DNA as the information by which a body makes another body like itself...
Role of DNA in reproduction,It is easy to think of DNA as the information by which a body makes another body like itself...
Body as a vehicle for DNA replication,It is easy to think of DNA as the information by which a body makes another body like itself...
Genetic information transmission,It is easy to think of DNA as the information by which a body makes another body like itself...
DNA and the creation of new life,It is easy to think of DNA as the information by which a body makes another body like itself...
Advice on keeping distance from things,"Keep things at arm's length, Köster used to say..."
Maintaining emotional distance,"Keep things at arm's length, Köster used to say..."
Personal boundaries and relationships,"Keep things at arm's length, Köster used to say..."
Philosophy of keeping things at arm's length,"Keep things at arm's length, Köster used to say..."
Köster's perspective on distance,"Keep things at arm's length, Köster used to say..."
Consequences of seeking revenge,Revenge proves its own executioner.
Revenge and self-destruction,Revenge proves its own executioner.
Negative impacts of seeking vengeance,Revenge proves its own executioner.
Wisdom in avoiding revenge,Revenge proves its own executioner.
Quotes on revenge and its aftermath,Revenge proves its own executioner.
Fascination with human behavior,"Perhaps because I'll never be one, humans are interesting to me."
Interest in understanding humans,"Perhaps because I'll never be one, humans are interesting to me."
Curiosity about human nature,"Perhaps because I'll never be one, humans are interesting to me."
Observations on human interactions,"Perhaps because I'll never be one, humans are interesting to me."
Quotes about the intrigue of humanity,"Perhaps because I'll never be one, humans are interesting to me."
Violence and its impact on personal preferences,"In times of violence, personal predilections for niceties of colour and form seem irrelevant..."
Irrelevance of aesthetics in times of conflict,"In times of violence, personal predilections for niceties of colour and form seem irrelevant..."
Violence and its effect on aesthetic values,"In times of violence, personal predilections for niceties of colour and form seem irrelevant..."
Quotes about the insignificance of beauty in chaos,"In times of violence, personal predilections for niceties of colour and form seem irrelevant..."
Aesthetics during periods of violence,"In times of violence, personal predilections for niceties of colour and form seem irrelevant..."
